geographyid,datatype,variable,region,year,value
35620,population,2010 Total Population,"New York, NY",2010,18910697.0
31080,population,2010 Total Population,"Los Angeles, CA",2010,12838632.0
16980,population,2010 Total Population,"Chicago, IL",2010,9464504.0
19100,population,2010 Total Population,"Dallas, TX",2010,6385659.0
26420,population,2010 Total Population,"Houston, TX",2010,5942430.0
47900,population,2010 Total Population,"Washington, DC",2010,5661166.0
37980,population,2010 Total Population,"Philadelphia, PA",2010,5968851.0
33100,population,2010 Total Population,"Miami, FL",2010,5568860.0
12060,population,2010 Total Population,"Atlanta, GA",2010,5296336.0
38060,population,2010 Total Population,"Phoenix, AZ",2010,4202584.0
14460,population,2010 Total Population,"Boston, MA",2010,4555700.0
41860,population,2010 Total Population,"San Francisco, CA",2010,4341178.0
40140,population,2010 Total Population,"Riverside, CA",2010,4232685.0
19820,population,2010 Total Population,"Detroit, MI",2010,4290294.0
42660,population,2010 Total Population,"Seattle, WA",2010,3447552.0
33460,population,2010 Total Population,"Minneapolis, MN",2010,3337354.0
41740,population,2010 Total Population,"San Diego, CA",2010,3098168.0
45300,population,2010 Total Population,"Tampa, FL",2010,2784984.0
19740,population,2010 Total Population,"Denver, CO",2010,2549905.0
41180,population,2010 Total Population,"St. Louis, MO",2010,2788707.0
12580,population,2010 Total Population,"Baltimore, MD",2010,2712814.0
16740,population,2010 Total Population,"Charlotte, NC",2010,2251745.0
36740,population,2010 Total Population,"Orlando, FL",2010,2137575.0
41700,population,2010 Total Population,"San Antonio, TX",2010,2150297.0
38900,population,2010 Total Population,"Portland, OR",2010,2230731.0
40900,population,2010 Total Population,"Sacramento, CA",2010,2151481.0
38300,population,2010 Total Population,"Pittsburgh, PA",2010,2355289.0
12420,population,2010 Total Population,"Austin, TX",2010,1724974.0
29820,population,2010 Total Population,"Las Vegas, NV",2010,1957517.0
17140,population,2010 Total Population,"Cincinnati, OH",2010,2139074.0
28140,population,2010 Total Population,"Kansas City, MO",2010,2012398.0
18140,population,2010 Total Population,"Columbus, OH",2010,1904549.0
26900,population,2010 Total Population,"Indianapolis, IN",2010,1890649.0
17460,population,2010 Total Population,"Cleveland, OH",2010,2076010.0
34980,population,2010 Total Population,"Nashville, TN",2010,1651111.0
41940,population,2010 Total Population,"San Jose, CA",2010,1840190.0
47260,population,2010 Total Population,"Virginia Beach, VA",2010,1714072.0
39300,population,2010 Total Population,"Providence, RI",2010,1600512.0
27260,population,2010 Total Population,"Jacksonville, FL",2010,1347584.0
33340,population,2010 Total Population,"Milwaukee, WI",2010,1556528.0
36420,population,2010 Total Population,"Oklahoma City, OK",2010,1255802.0
39580,population,2010 Total Population,"Raleigh, NC",2010,1135768.0
32820,population,2010 Total Population,"Memphis, TN",2010,1316937.0
40060,population,2010 Total Population,"Richmond, VA",2010,1188713.0
31140,population,2010 Total Population,"Louisville, KY",2010,1203939.0
35380,population,2010 Total Population,"New Orleans, LA",2010,1193951.0
41620,population,2010 Total Population,"Salt Lake City, UT",2010,1091314.0
25540,population,2010 Total Population,"Hartford, CT",2010,1212589.0
15380,population,2010 Total Population,"Buffalo, NY",2010,1135135.0
13820,population,2010 Total Population,"Birmingham, AL",2010,1061831.0
35620,population,2011 Total Population,"New York, NY",2011,18971026.0
31080,population,2011 Total Population,"Los Angeles, CA",2011,12897952.0
16980,population,2011 Total Population,"Chicago, IL",2011,9477120.0
19100,population,2011 Total Population,"Dallas, TX",2011,6479891.0
26420,population,2011 Total Population,"Houston, TX",2011,6040651.0
47900,population,2011 Total Population,"Washington, DC",2011,5716656.0
37980,population,2011 Total Population,"Philadelphia, PA",2011,5985149.0
33100,population,2011 Total Population,"Miami, FL",2011,5591923.0
12060,population,2011 Total Population,"Atlanta, GA",2011,5337327.0
38060,population,2011 Total Population,"Phoenix, AZ",2011,4248911.0
14460,population,2011 Total Population,"Boston, MA",2011,4576097.0
41860,population,2011 Total Population,"San Francisco, CA",2011,4374774.0
40140,population,2011 Total Population,"Riverside, CA",2011,4277756.0
19820,population,2011 Total Population,"Detroit, MI",2011,4268416.0
42660,population,2011 Total Population,"Seattle, WA",2011,3484428.0
33460,population,2011 Total Population,"Minneapolis, MN",2011,3355629.0
41740,population,2011 Total Population,"San Diego, CA",2011,3117849.0
45300,population,2011 Total Population,"Tampa, FL",2011,2803209.0
19740,population,2011 Total Population,"Denver, CO",2011,2579967.0
41180,population,2011 Total Population,"St. Louis, MO",2011,2791065.0
12580,population,2011 Total Population,"Baltimore, MD",2011,2724124.0
16740,population,2011 Total Population,"Charlotte, NC",2011,2283047.0
36740,population,2011 Total Population,"Orlando, FL",2011,2157774.0
41700,population,2011 Total Population,"San Antonio, TX",2011,2186950.0
38900,population,2011 Total Population,"Portland, OR",2011,2250428.0
40900,population,2011 Total Population,"Sacramento, CA",2011,2166749.0
