Geographyid,unemploymentrate,date,region,monthsofsupply,mediansaleprice
13820,7.4,2/1/12,"Birmingham, AL",5,133000
13820,7,3/1/12,"Birmingham, AL",4.5,140000
13820,6.3,4/1/12,"Birmingham, AL",4.3,137000
13820,6.9,5/1/12,"Birmingham, AL",4,155000
13820,7.9,6/1/12,"Birmingham, AL",3.7,164000
13820,7.9,7/1/12,"Birmingham, AL",4.2,156000
13820,7.5,8/1/12,"Birmingham, AL",3.5,155000
13820,6.7,9/1/12,"Birmingham, AL",4.5,159000
13820,6.7,10/1/12,"Birmingham, AL",4.5,150000
13820,6,11/1/12,"Birmingham, AL",4.4,156000
13820,6.3,12/1/12,"Birmingham, AL",4.6,154000
13820,7.2,1/1/13,"Birmingham, AL",5.5,140000
13820,7,2/1/13,"Birmingham, AL",5.3,141000
13820,6.2,3/1/13,"Birmingham, AL",4.8,149000
13820,5.5,4/1/13,"Birmingham, AL",4.1,160000
13820,5.8,5/1/13,"Birmingham, AL",3.5,170000
13820,6.7,6/1/13,"Birmingham, AL",4,186000
13820,6.5,7/1/13,"Birmingham, AL",3.6,184000
13820,6.6,8/1/13,"Birmingham, AL",3.5,168000
13820,6.3,9/1/13,"Birmingham, AL",4,164000
13820,6.2,10/1/13,"Birmingham, AL",4.5,160000
13820,5.9,11/1/13,"Birmingham, AL",5.1,161000
13820,5.9,12/1/13,"Birmingham, AL",4.3,156000
13820,6.7,1/1/14,"Birmingham, AL",6.5,140000
13820,6.9,2/1/14,"Birmingham, AL",5.5,154000
13820,6.4,3/1/14,"Birmingham, AL",4.6,161000
13820,5.5,4/1/14,"Birmingham, AL",4.1,160000
13820,5.8,5/1/14,"Birmingham, AL",3.9,172000
13820,6.4,6/1/14,"Birmingham, AL",3.6,177000
13820,6.4,7/1/14,"Birmingham, AL",3.5,174000
13820,6.2,8/1/14,"Birmingham, AL",3.6,173000
13820,5.6,9/1/14,"Birmingham, AL",3.5,172000
13820,5.5,10/1/14,"Birmingham, AL",4.1,163000
13820,5.2,11/1/14,"Birmingham, AL",5,162000
13820,5.1,12/1/14,"Birmingham, AL",4,177000
13820,5.7,1/1/15,"Birmingham, AL",5.3,154000
13820,5.6,2/1/15,"Birmingham, AL",4.3,162000
13820,5.3,3/1/15,"Birmingham, AL",3.6,170000
13820,5,4/1/15,"Birmingham, AL",3.5,180000
13820,5.3,5/1/15,"Birmingham, AL",3.1,191000
13820,5.9,6/1/15,"Birmingham, AL",2.9,190000
13820,5.8,7/1/15,"Birmingham, AL",3.2,179000
13820,5.8,8/1/15,"Birmingham, AL",4.3,182000
13820,5.3,9/1/15,"Birmingham, AL",4.7,170000
13820,5.4,10/1/15,"Birmingham, AL",6.3,166000
13820,5.3,11/1/15,"Birmingham, AL",7.4,170000
13820,5.3,12/1/15,"Birmingham, AL",5.6,167000
13820,5.8,1/1/16,"Birmingham, AL",7.3,163000
13820,5.8,2/1/16,"Birmingham, AL",6.4,168000
13820,5.6,3/1/16,"Birmingham, AL",5.1,172000
13820,5,4/1/16,"Birmingham, AL",5,185000
13820,5,5/1/16,"Birmingham, AL",4.2,187000
13820,5.8,6/1/16,"Birmingham, AL",4.3,195000
13820,5.6,7/1/16,"Birmingham, AL",4.6,185000
13820,5.6,8/1/16,"Birmingham, AL",4,177000
13820,5.6,9/1/16,"Birmingham, AL",4.4,185000
13820,5.6,10/1/16,"Birmingham, AL",4.9,175000
13820,5.1,11/1/16,"Birmingham, AL",5.1,184000
13820,5,12/1/16,"Birmingham, AL",4.5,179000
13820,5.5,1/1/17,"Birmingham, AL",6,178000
13820,5.2,2/1/17,"Birmingham, AL",5.5,170000
13820,4.5,3/1/17,"Birmingham, AL",4.1,175000
13820,3.8,4/1/17,"Birmingham, AL",4.6,195000
13820,3.6,5/1/17,"Birmingham, AL",3.8,199000
13820,4.4,6/1/17,"Birmingham, AL",3.8,202000
13820,4.1,7/1/17,"Birmingham, AL",4.3,197000
13820,3.9,8/1/17,"Birmingham, AL",3.9,192000
13820,3.4,9/1/17,"Birmingham, AL",4.5,191000
13820,3.4,10/1/17,"Birmingham, AL",4.9,194000
13820,3.3,11/1/17,"Birmingham, AL",4.2,185000
13820,3.3,12/1/17,"Birmingham, AL",4.1,195000
13820,3.9,1/1/18,"Birmingham, AL",5.7,179000
13820,3.9,2/1/18,"Birmingham, AL",4.5,200000
13820,3.6,3/1/18,"Birmingham, AL",3.5,189000
13820,3.1,4/1/18,"Birmingham, AL",3.4,195000
13820,3.1,5/1/18,"Birmingham, AL",3,215000
13820,4.1,6/1/18,"Birmingham, AL",3.3,213000
13820,3.7,7/1/18,"Birmingham, AL",3.5,210000
13820,3.6,8/1/18,"Birmingham, AL",3.5,204000
13820,3.3,9/1/18,"Birmingham, AL",3.8,199000
13820,3.3,10/1/18,"Birmingham, AL",3.9,195000
13820,3,11/1/18,"Birmingham, AL",3.7,196000
13820,3.1,12/1/18,"Birmingham, AL",4.1,198000
13820,3.8,1/1/19,"Birmingham, AL",5.1,187000
13820,3.5,2/1/19,"Birmingham, AL",4,190000
13820,3.1,3/1/19,"Birmingham, AL",3.5,208000
13820,2.4,4/1/19,"Birmingham, AL",3.2,218000
13820,2.2,5/1/19,"Birmingham, AL",3,230000
13820,3,6/1/19,"Birmingham, AL",3.1,225000
13820,2.8,7/1/19,"Birmingham, AL",3.2,213000
13820,2.7,8/1/19,"Birmingham, AL",3.1,219000
13820,2.4,9/1/19,"Birmingham, AL",3.3,212000
13820,2.3,10/1/19,"Birmingham, AL",3.5,205000
13820,2.2,11/1/19,"Birmingham, AL",3.7,213000
13820,2.2,12/1/19,"Birmingham, AL",3,211000
13820,2.9,1/1/20,"Birmingham, AL",3.9,206000
13820,2.5,2/1/20,"Birmingham, AL",3.5,215000
13820,2.7,3/1/20,"Birmingham, AL",3,230000
13820,11.9,4/1/20,"Birmingham, AL",3.1,230000
13820,8.5,5/1/20,"Birmingham, AL",3.3,238000
13820,7.5,6/1/20,"Birmingham, AL",2.3,239000
13820,7.8,7/1/20,"Birmingham, AL",2.2,242000
