StdGeographyLevel,StdGeographyName,StdGeographyID,2020 Total Population
US.CBSA,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",35620,19560212
US.CBSA,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",31080,13403861
US.CBSA,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",16980,9578424
US.CBSA,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",19100,7779502
US.CBSA,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,7233951
US.CBSA,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",47900,6298330
US.CBSA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",37980,6191755
US.CBSA,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",33100,6140484
US.CBSA,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",12060,6049686
US.CBSA,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",38060,4932833
US.CBSA,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",14460,4924594
US.CBSA,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",41860,4652663
US.CBSA,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",40140,4649818
US.CBSA,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,4361870
US.CBSA,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",42660,4023384
US.CBSA,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,3678099
US.CBSA,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",41740,3318139
US.CBSA,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",45300,3207422
US.CBSA,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",19740,2988896
US.CBSA,"St. Louis, MO-IL Metropolitan Statistical Area",41180,2861504
US.CBSA,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",12580,2840181
US.CBSA,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",16740,2685444
US.CBSA,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",36740,2638858
US.CBSA,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",41700,2570955
US.CBSA,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",38900,2533321
US.CBSA,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area",40900,2364919
US.CBSA,"Pittsburgh, PA Metropolitan Statistical Area",38300,2348354
US.CBSA,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",12420,2296794
US.CBSA,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",29820,2286325
US.CBSA,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",17140,2249913
US.CBSA,"Kansas City, MO-KS Metropolitan Statistical Area",28140,2191128
US.CBSA,"Columbus, OH Metropolitan Statistical Area",18140,2126001
US.CBSA,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",26900,2089486
US.CBSA,"Cleveland-Elyria, OH Metropolitan Statistical Area",17460,2077121
US.CBSA,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",34980,2001742
US.CBSA,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",41940,1984930
US.CBSA,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",47260,1802762
US.CBSA,"Providence-Warwick, RI-MA Metropolitan Statistical Area",39300,1647299
US.CBSA,"Jacksonville, FL Metropolitan Statistical Area",27260,1597368
US.CBSA,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",33340,1586914
US.CBSA,"Oklahoma City, OK Metropolitan Statistical Area",36420,1421338
US.CBSA,"Raleigh-Cary, NC Metropolitan Statistical Area",39580,1417213
US.CBSA,"Memphis, TN-MS-AR Metropolitan Statistical Area",32820,1367448
US.CBSA,"Richmond, VA Metropolitan Statistical Area",40060,1310587
US.CBSA,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",31140,1283286
US.CBSA,"New Orleans-Metairie, LA Metropolitan Statistical Area",35380,1282913
US.CBSA,"Salt Lake City, UT Metropolitan Statistical Area",41620,1277854
US.CBSA,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area",25540,1226241
US.CBSA,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",15380,1145128
US.CBSA,"Birmingham-Hoover, AL Metropolitan Statistical Area",13820,1115241
