geographyid,region,date,monthsofsupply,mediansaleprice
21820,"Fairbanks, AK",2014-02-01,8.4,175000
11260,"Anchorage, AK",2014-04-01,5.3,271000
21820,"Fairbanks, AK",2014-07-01,6.6,253000
11260,"Anchorage, AK",2015-12-01,4.3,275000
21820,"Fairbanks, AK",2017-10-01,3.6,235000
21820,"Fairbanks, AK",2018-02-01,6.9,237000
21820,"Fairbanks, AK",2019-06-01,5.1,246000
11260,"Anchorage, AK",2019-12-01,3.9,295000
13820,"Birmingham, AL",2012-06-01,3.7,164000
42460,"Scottsboro, AL",2013-05-01,3.7,114000
45180,"Talladega, AL",2013-11-01,6.7,69000
45180,"Talladega, AL",2014-04-01,6.9,125000
10700,"Albertville, AL",2014-10-01,5.0,110000
22840,"Fort Payne, AL",2014-12-01,5.4,125000
22840,"Fort Payne, AL",2015-04-01,3.8,119000
10700,"Albertville, AL",2016-04-01,3.8,113000
22840,"Fort Payne, AL",2016-04-01,4.4,107000
22840,"Fort Payne, AL",2016-07-01,4.2,96000
13820,"Birmingham, AL",2016-10-01,4.9,175000
19460,"Decatur, AL",2016-10-01,4.8,135000
22840,"Fort Payne, AL",2017-06-01,4.7,114000
19460,"Decatur, AL",2017-10-01,3.7,119000
45180,"Talladega, AL",2018-01-01,8.2,138000
22840,"Fort Payne, AL",2018-08-01,4.1,145000
11500,"Anniston, AL",2019-05-01,4.1,128000
19460,"Decatur, AL",2019-10-01,2.9,167000
11500,"Anniston, AL",2020-05-01,4.3,130000
26300,"Hot Springs, AR",2012-03-01,8.7,136000
12900,"Batesville, AR",2012-12-01,53.0,34000
31680,"Malvern, AR",2013-02-01,13.4,125000
38220,"Pine Bluff, AR",2013-03-01,7.0,84000
12900,"Batesville, AR",2013-07-01,23.4,54000
30780,"Little Rock, AR",2013-10-01,7.0,150000
31680,"Malvern, AR",2014-12-01,8.7,73000
26300,"Hot Springs, AR",2015-01-01,13.6,107000
30780,"Little Rock, AR",2015-05-01,5.1,155000
42620,"Searcy, AR",2015-07-01,5.9,122000
42620,"Searcy, AR",2016-02-01,7.6,103000
31680,"Malvern, AR",2016-03-01,6.4,92000
38220,"Pine Bluff, AR",2016-07-01,6.8,87000
12900,"Batesville, AR",2016-08-01,5.0,58000
