zillow_id,cbsa_id,cbsa_name
394327,11260,Anchorage
394580,21820,Fairbanks
394730,27940,Juneau
394743,28540,Ketchikan
394311,10700,Albertville
394333,11500,Anniston-Oxford-Jacksonville
394351,12220,Auburn-Opelika
394388,13820,Birmingham-Hoover
394511,18980,Cullman
394519,19300,Daphne-Fairhope-Foley
394523,19460,Decatur
394537,20020,Dothan
394571,21460,Enterprise
394598,22520,Florence-Muscle Shoals
394620,23460,Gadsden
394698,26620,Huntsville
394870,33660,Mobile
394875,33860,Montgomery
753911,37120,Ozark
395073,42460,Scottsboro
395083,42820,Selma
395145,45180,Talladega-Sylacauga
395165,45980,Troy
395171,46220,Tuscaloosa
395184,46740,Valley
394337,11660,Arkadelphia
394366,12900,Batesville
394397,14180,Blytheville
394435,15780,Camden
394560,20980,El Dorado
394590,22220,Fayetteville-Springdale-Rogers
394601,22620,Forrest City
394609,22900,Fort Smith
394667,25460,Harrison
394676,25760,Helena-West Helena
394689,26300,Hot Springs
394728,27860,Jonesboro
394798,30780,Little Rock-North Little Rock-Conway
394818,31620,Magnolia
753902,31680,Malvern
394891,34260,Mountain Home
394961,37500,Paragould
394980,38220,Pine Bluff
395042,40780,Russellville
395077,42620,Searcy
394595,22380,Flagstaff
394765,29420,Lake Havasu City-Kingman
394918,35700,Nogales
394967,37740,Payson
394976,38060,Phoenix-Mesa-Scottsdale
395002,39150,Prescott
395046,40940,Safford
395095,43320,Show Low
395098,43420,Sierra Vista-Douglas
395167,46060,Tucson
395247,49740,Yuma
394357,12540,Bakersfield
394464,17020,Chico
394472,17340,Clearlake
394508,18860,Crescent City
394559,20940,El Centro
394577,21700,Eureka-Arcata-Fortuna
394619,23420,Fresno
394662,25260,Hanford-Corcoran
753899,31080,Los Angeles-Long Beach-Anaheim
394814,31460,Madera
394851,32900,Merced
394871,33700,Modesto
394900,34900,Napa
395016,39780,Red Bluff
395018,39820,Redding
395025,40140,Riverside-San Bernardino-Ontario
395045,40900,Sacramento--Roseville--Arden-Arcade
395050,41500,Salinas
395056,41740,San Diego-Carlsbad
395057,41860,San Francisco-Oakland-Hayward
395059,41940,San Jose-Sunnyvale-Santa Clara
395061,42020,San Luis Obispo-Paso Robles-Arroyo Grande
395065,42100,Santa Cruz-Watsonville
753917,42200,Santa Maria-Santa Barbara
395068,42220,Santa Rosa
753920,43760,Sonora
395134,44700,Stockton-Lodi
395141,45000,Susanville
395166,46020,Truckee-Grass Valley
395175,46380,Ukiah
395183,46700,Vallejo-Fairfield
394952,37100,Oxnard-Thousand Oaks-Ventura
395195,47300,Visalia-Porterville
395246,49700,Yuba City
394405,14500,Boulder
753871,14720,Breckenridge
394437,15860,Canon City
394484,17820,Colorado Springs
753874,18780,Craig
394530,19740,Denver-Aurora-Lakewood
394547,20420,Durango
394556,20780,Edwards
394602,22660,Fort Collins
394606,22820,Fort Morgan
753881,24060,Glenwood Springs
394639,24300,Grand Junction
394645,24540,Greeley
394876,33940,Montrose
395007,39380,Pueblo
753921,44460,Steamboat Springs
395130,44540,Sterling
394415,14860,Bridgeport-Stamford-Norwalk
394669,25540,Hartford-West Hartford-East Hartford
394908,35300,New Haven
394924,35980,Norwich-New London-Westerly
395162,45860,Torrington
395209,47900,Washington-Arlington-Alexandria
394539,20100,Dover
395051,41540,Salisbury
394335,11580,Arcadia
394440,15980,Cape Coral-Fort Myers
394476,17500,Clewiston
753875,18880,Crestview-Fort Walton Beach-Destin
394528,19660,Deltona-Daytona Beach-Ormond Beach
394622,23540,Gainesville
394685,26140,Homosassa Springs
394714,27260,Jacksonville
394744,28580,Key West
394764,29380,Lake City
394766,29460,Lakeland-Winter Haven
394856,33100,Miami-Fort Lauderdale-West Palm Beach
394901,34940,Naples-Immokalee-Marco Island
753906,35840,North Port-Sarasota-Bradenton
394927,36100,Ocala
394934,36380,Okeechobee
394943,36740,Orlando-Kissimmee-Sanford
394955,37260,Palatka
394957,37340,Palm Bay-Melbourne-Titusville
394960,37460,Panama City
394971,37860,Pensacola-Ferry Pass-Brent
394995,38940,Port St. Lucie
395009,39460,Punta Gorda
395080,42700,Sebring
395146,45220,Tallahassee
395148,45300,Tampa-St. Petersburg-Clearwater
395153,45540,The Villages
395079,42680,Sebastian-Vero Beach
395214,48100,Wauchula
394306,10500,Albany
394324,11140,Americus
394346,12020,Athens-Clarke County
394347,12060,Atlanta-Sandy Springs-Roswell
394352,12260,Augusta-Richmond County
394356,12460,Bainbridge
394423,15260,Brunswick
394432,15660,Calhoun
394448,16340,Cedartown
394488,17980,Columbus
394498,18380,Cordele
394500,18460,Cornelia
394515,19140,Dalton
394538,20060,Douglas
394540,20140,Dublin
394594,22340,Fitzgerald
394623,23580,Gainesville
394682,25980,Hinesville
753893,27600,Jefferson
394725,27700,Jesup
394762,29300,LaGrange
394813,31420,Macon-Bibb County
394861,33300,Milledgeville
394883,34220,Moultrie
395038,40660,Rome
395070,42340,Savannah
395122,41220,St. Marys
395126,44340,Statesboro
395138,44900,Summerville
395154,45580,Thomaston
395155,45620,Thomasville
395158,45700,Tifton
395159,45740,Toccoa
395182,46660,Valdosta
395191,47080,Vidalia
395202,47580,Warner Robins
395216,48180,Waycross
394680,25900,Hilo
394731,27980,Kahului-Wailuku-Lahaina
394736,28180,Kapaa
753924,46520,Urban Honolulu
394325,11180,Ames
394401,14340,Boone
394427,15460,Burlington
394447,16300,Cedar Rapids
394477,17540,Clinton
394531,19780,Des Moines-West Des Moines
394542,20220,Dubuque
753880,21840,Fairfield
394605,22800,Fort Madison-Keokuk
394707,26980,Iowa City
394833,32260,Marshalltown
394838,32380,Mason City
394895,34700,Muscatine
394916,35500,Newton
394945,36820,Oskaloosa
394947,36900,Ottumwa
395102,43580,Sioux City
395111,43980,Spencer
395112,44020,Spirit Lake
395135,44740,Storm Lake
395210,47940,Waterloo-Cedar Falls
394391,13940,Blackfoot
394399,14260,Boise City
394426,15420,Burley
394480,17660,Coeur d'Alene
753884,25200,Hailey
394703,26820,Idaho Falls
394787,30300,Lewiston
